symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
CMCSK-201512,1994-01-07,1994-01-10,6.036602,6.084265,1656.561096,1,0.006485613676380675,64.9015360595422,target
SPLS-201709,1994-01-07,1994-01-13,1.470091,1.482125,6802.298888,4,0.0067749875746705435,67.79730065972763,target
INEL-199805,1994-01-10,1994-01-12,22.698053,23.645597,439.807215,2,0.04028818129446976,402.469085493316,price_action
CHIR-200604,1994-01-12,1994-01-13,20.141621,20.789141,498.014478,1,0.030704326016427474,308.20512878165937,target
FHCC-200501,1994-01-12,1994-01-13,5.712584,5.999962,1755.916096,1,0.048836731544322776,490.21532427842067,target
SEG-200011,1994-01-12,1994-01-14,11.604425,11.984121,864.396001,2,0.03127508845507321,313.9343511333391,target
JAVA-201001,1994-01-19,1994-01-27,3.36846,3.263587,3017.625931,6,-0.03248930833061303,-330.47694272960325,target
SEG-200011,1994-01-19,1994-01-20,11.030934,11.286946,921.477016,1,0.02177704300297978,221.51319812907968,target
AKLMQ-200808,1994-01-24,1994-01-28,21.559453,20.179727,470.811807,4,-0.0653058648579623,-663.3476249256564,target
DELL-201310,1994-01-24,1994-01-28,0.353254,0.323943,28734.147516,4,-0.08425667275143411,-855.8414144788348,target
FHCC-200501,1994-01-24,1994-01-25,5.510708,5.544199,1841.949244,1,0.004669840010995685,47.43413607360162,target
INEL-199805,1994-01-25,1994-01-26,23.208249,24.402031,434.97087,1,0.04996682807673092,504.76383202987745,target
NXTL-200508,1994-01-25,1994-01-26,19.89971,20.871657,507.289411,1,0.047374888334253074,478.58011200677356,target
SNPL-199412,1994-01-25,1994-01-26,27.411754,28.358665,368.26948,1,0.033096648105469084,334.3416336015289,target
IDBX-199412,1994-01-26,1994-01-27,16.507659,17.163264,616.289899,1,0.03826062075700043,389.51703423689105,target
CRUS,1994-02-04,1994-02-07,20.668591,20.711182,492.409027,1,0.0006587637218773423,6.709195495412132,target
DIGI-199809,1994-02-04,1994-02-07,28.804245,28.894641,353.329892,1,0.001734896083946058,17.66909227825454,target
IRIC-200312,1994-02-04,1994-02-08,31.5,27.004087,323.092085,2,-0.14392673625518693,-1465.8254218988568,target
CNTO-199910,1994-02-11,1994-02-14,10.757312,11.0,932.691728,1,0.02112969539916154,212.14804195366742,target_gap
COMS-201004,1994-02-16,1994-02-22,2.535302,2.670216,3965.788315,3,0.051740861805563476,520.5911409992896,price_action
SNPL-199412,1994-02-17,1994-02-18,29.316152,29.0,343.996172,1,-0.012168147743137792,-122.79733562126057,target_gap
AES,1994-02-18,1994-02-22,3.521763,3.673645,2851.750557,1,0.04166760891149379,418.7685775772461,price_action
INEL-199805,1994-02-18,1994-02-23,21.318397,21.359486,471.104299,2,0.0005256734573393373,5.283133151886432,price_action
SIAL-201511,1994-02-24,1994-03-01,10.232571,10.430558,990.626428,3,0.017922634464936582,181.802740741281,target
