symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
DASH,2025-05-07,2025-05-08,181.096284,182.457102,55.219245,1,0.006104798772366582,61.0907213150731,target
CDNS,2025-05-29,2025-06-02,277.066429,292.529999,36.114477,2,0.054334673110373544,544.0592406068881,price_action
TSLA,2025-06-05,2025-06-06,318.326337,298.829987,31.604407,1,-0.06255976073984904,-629.8239794692036,target_gap
SHOP,2025-06-13,2025-06-16,104.994564,107.959999,95.219525,1,0.026805163337405347,268.17308411298654,target_gap
APP,2025-06-20,2025-06-23,327.704281,334.414998,30.589621,1,0.019050293628501525,191.10048592305975,target
MU,2025-07-17,2025-07-18,112.269138,114.206703,89.458779,1,0.015835054584139474,159.15006372060816,price_action
AXON,2025-07-23,2025-07-25,698.90161,721.837658,14.39312,2,0.0313723450668717,315.80709278073846,target
SHOP,2025-07-23,2025-07-25,119.29632,124.25051,84.322592,2,0.040071315540087804,403.37455289492755,target
MCHP,2025-07-24,2025-07-28,65.69826,68.769965,153.605737,2,0.04529030327523054,457.37290397210745,target
ON,2025-07-24,2025-07-25,56.060001,56.919998,180.014795,1,0.013920166280409374,140.5754966301447,price_action
CHTR,2025-07-25,2025-08-08,329.0,256.570007,30.664755,10,-0.22124297697055284,-2233.617463994973,time
INTC,2025-07-25,2025-07-28,20.674999,21.225268,487.96638,1,0.025178922843938745,254.2005290242014,target
PANW,2025-07-30,2025-08-06,180.270004,172.691644,55.847503,5,-0.043379148287960856,-437.03090883400546,target
DDOG,2025-08-01,2025-08-04,135.575741,138.142452,73.72235,1,0.017506426894290605,175.09855752723342,target
MCHP,2025-08-01,2025-08-05,63.585319,66.03852,157.189778,2,0.03712824529273773,371.35517336183875,target
MU,2025-08-01,2025-08-04,105.320961,106.876113,94.900028,1,0.013346153947055628,133.48767962627244,target
WBD,2025-08-08,2025-08-12,11.308293,11.085172,886.49671,2,-0.02110220428329157,-211.6927189787457,target
AMD,2025-08-20,2025-08-22,159.628182,167.205508,62.622201,2,0.04600316953648442,460.18191589302296,target
APP,2025-08-20,2025-08-21,391.329891,424.595389,25.544351,1,0.0834883335800809,835.1559618327428,target
AVGO,2025-08-20,2025-08-22,283.800866,292.379353,35.222824,2,0.028785824214007993,287.95224048326054,target
PLTR,2025-08-20,2025-08-22,149.757156,160.670694,66.749852,2,0.07137392664285946,713.9723336078005,target
CSX,2025-08-25,2025-08-28,32.939852,32.69168,310.444455,3,-0.008922569256580082,-91.30601182489772,target
AMD,2025-09-02,2025-09-09,157.371188,154.375456,64.922073,5,-0.020408474618969108,-208.65656082768874,target
AVGO,2025-09-02,2025-09-03,286.148563,301.251042,35.704753,1,0.051305597508513934,524.5492241436768,target
CEG,2025-09-02,2025-09-03,298.242764,307.237976,34.25687,1,0.028719489023570022,293.62850091779,price_action
CRWD,2025-09-02,2025-09-05,102.025839,104.407501,100.139963,3,0.02191203924449492,224.02902886372613,price_action
LRCX,2025-09-02,2025-09-03,95.237907,97.202034,107.27728,1,0.019195496629450748,196.25505506217087,price_action
NVDA,2025-09-02,2025-09-08,168.881337,169.486414,60.497293,4,0.002178815982696314,22.2762483778788,target
WBD,2025-09-02,2025-09-03,11.286025,11.817322,905.266794,1,0.04561078884943637,466.3254121459686,target
MELI,2025-10-01,2025-10-02,2254.90031,2230.594969,4.598298,1,-0.012162839028434957,-126.20116139666607,target
TSLA,2025-10-03,2025-10-06,417.221131,441.195648,24.821572,1,0.055982965107679084,580.1701393386156,target
NXPI,2025-10-29,2025-10-30,203.148007,206.239663,51.263615,1,0.013798426622161797,143.79880114734988,target
PLTR,2025-11-05,2025-11-10,181.375777,184.309998,57.496548,3,0.014755920893785968,153.98956038551296,target_gap
AMAT,2025-11-07,2025-11-10,224.915923,235.181793,46.201176,1,0.044180269893513424,459.4153454151383,target_gap
AMD,2025-11-07,2025-11-10,225.553363,242.134995,46.070606,1,0.07201346846982593,748.8431503779648,target_gap
CEG,2025-11-07,2025-11-10,334.129242,366.290583,31.099882,1,0.09472051277756433,984.965850151877,target
NVDA,2025-11-07,2025-11-10,180.275995,194.861465,57.641508,1,0.07939412694351078,825.5920650009812,target_gap
SHOP,2025-11-07,2025-11-10,148.383299,157.115005,70.030658,1,0.05736426615859913,596.5111624546262,target_gap
TSLA,2025-11-07,2025-11-10,424.651584,441.371175,24.470367,1,0.037918389546437226,394.3002175643087,target
PLTR,2025-11-13,2025-11-20,174.237627,172.070007,62.241681,5,-0.013822212543072032,-150.00465335176523,target_gap
LRCX,2025-11-14,2025-11-17,146.196304,151.452139,74.08551,1,0.03450121374803716,373.9451827557532,target
MRVL,2025-11-18,2025-11-19,78.847105,81.085011,137.771486,1,0.02694412664483048,292.89577306293177,target
INTC,2025-12-12,2025-12-18,37.657288,37.380001,289.360365,4,-0.008752147204156846,-95.43476180032303,target_gap
MRVL,2025-12-12,2025-12-17,84.454084,86.394562,129.023086,3,0.02154555788120338,234.93608325864625,target_gap
AVGO,2025-12-15,2025-12-19,337.990302,337.852854,32.242691,4,-0.0018051161728064313,-19.68541538872887,target
CEG,2026-01-08,2026-01-09,323.229106,338.515869,33.748533,1,0.04582870764076885,500.27277539926945,target_gap
