symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
AT-200711,2000-01-07,2000-01-27,51.23826,46.114434,195.166659,13,-0.10125911861696824,-1013.3000000000011,stop
BNY,2000-01-07,2000-02-18,21.863443,19.677099,457.384503,29,-0.10125911861696824,-1013.3000000000011,stop
GTW-200710,2000-01-07,2000-02-09,61.625,55.4625,162.271805,22,-0.10125911861696824,-1013.3000000000011,stop
LEHMQ-201203,2000-01-07,2000-02-18,16.540375,14.886338,604.581214,29,-0.10125911861696801,-1013.2999999999993,stop
LUMN,2000-01-07,2000-01-28,12.313359,11.082023,812.126082,14,-0.10125911861696824,-1013.3000000000011,stop
MTG,2000-01-07,2000-01-18,43.302628,38.972365,230.932866,6,-0.10125911861696824,-1013.3000000000011,stop
PTC,2000-01-07,2000-01-19,48.28125,55.523437,205.670917,7,0.14839112621165174,1474.5626211651834,target
S-202003,2000-01-07,2000-02-28,49.593292,44.633963,201.640173,34,-0.10125911861696824,-1013.3000000000011,stop
SFA-200602,2000-01-07,2000-01-10,25.218521,29.001299,396.53396,1,0.14839112621165174,1484.949999999999,target
TMC-200006,2000-01-07,2000-02-07,63.412262,57.071036,157.698207,20,-0.10125911861696824,-1013.3000000000011,stop
TWX-201806,2000-01-14,2000-01-31,96.74487,87.070383,106.739223,10,-0.10125911861696812,-1046.3814363957717,stop
GE,2000-01-21,2000-02-18,124.389275,111.950348,82.385458,20,-0.10125911861696801,-1038.4164080444225,stop
PG,2000-01-21,2000-02-10,25.573982,23.016584,400.71458,14,-0.10125911861696801,-1038.4164080444225,stop
ADP,2000-02-04,2000-02-22,21.542683,19.388415,446.827377,11,-0.1012591186169679,-975.3884491746558,stop
CL,2000-02-04,2000-02-24,15.911242,14.320118,569.195815,13,-0.10125911861696801,-917.7065301433122,stop
KMB,2000-02-04,2000-02-11,24.476685,22.029017,393.266512,5,-0.1012591186169679,-975.3884491746558,stop
AL-200711,2000-02-11,2000-02-25,29.438345,26.494511,315.264341,9,-0.10125911861696824,-940.4295882036076,stop
HWM,2000-02-11,2000-03-14,41.385128,37.246615,224.255932,21,-0.10125911861696824,-940.4295882036076,stop
RLM-200005,2000-02-11,2000-03-07,63.212154,56.890939,146.820822,16,-0.10125911861696812,-940.4295882036058,stop
SPGI,2000-02-11,2000-02-18,16.545164,14.890648,483.136228,5,-0.10125911861696812,-809.9882579105424,stop
AGN-202005,2000-03-03,2000-04-05,34.827946,40.052138,249.246658,23,0.14839112621165174,1289.0478463285563,target
DXC,2000-03-03,2000-05-15,23.522482,27.050854,369.040527,50,0.14839112621165174,1289.0478463285563,target
PSFT-200501,2000-03-03,2000-03-08,20.375,23.43125,426.049038,3,0.14839112621165174,1289.0478463285563,target
WLA-200006,2000-03-03,2000-04-03,85.43384,98.248916,101.607854,21,0.14839112621165174,1289.0478463285563,target
AES,2000-03-10,2000-03-30,23.018448,26.471215,384.983813,14,0.14839112621165151,1315.922578293228,target
OMC,2000-03-10,2000-03-22,22.462244,25.831581,394.516678,8,0.14839112621165174,1315.92257829323,target
CNXT-201104,2000-03-17,2000-03-23,284.7936,256.31424,31.127198,4,-0.10125911861696801,-898.2729107994046,stop
NOVL-201104,2000-03-17,2000-03-20,29.5,26.55,300.502607,1,-0.10125911861696801,-898.2729107994046,stop
AMGN,2000-03-24,2000-03-28,36.628857,42.123186,239.975606,2,0.14839112621165174,1305.275824675513,target
CNXT-201104,2000-03-24,2000-03-30,285.01822,252.00192,30.840246,4,-0.11707622024609776,-1029.824113024475,stop_gap
USW-200006,2000-03-24,2000-06-08,67.477486,77.599109,130.266148,52,0.14839112621165174,1305.275824675511,target
CNXT-201104,2000-03-31,2000-04-04,255.14633,229.631697,35.408103,2,-0.10125911861696812,-915.4403056724286,stop
COMS-201004,2000-03-31,2000-04-03,10.155951,9.140356,889.552102,1,-0.10125911861696812,-915.4403056724286,stop
CTXS-202209,2000-03-31,2000-04-04,50.575024,45.517522,149.58216,2,-0.1012591186169679,-766.5737426323913,stop
GDT-200604,2000-03-31,2000-04-14,57.800564,52.020508,156.300336,10,-0.10125911861696812,-915.4403056724286,stop
LXK-201611,2000-03-31,2000-05-09,87.038155,78.334339,103.796405,26,-0.10125911861696812,-915.4403056724286,stop
PSFT-200501,2000-03-31,2000-04-04,20.0,18.0,451.712378,2,-0.10125911861696812,-915.4403056724286,stop
